property_id,property_capacity,property_address,booking_id,check_in_date,check_out_date,base_fee,service_fee,cleaning_fee,gst,total_price,owner_id,abn,tin,dob,contact_number,email,rating,owner_location,owner_address,bank_account_name,bsb,bank_account_number,bank_name,paypal_id,iban,swift_code,order_status,final_price,final_gst
613977,7,"5275, Cape Jaffa, SA",36870622,22-06-2023,04-07-2023,1104,165.6,157.2,142.68,1569.48,98371,78 351 751 932,,28-11-1973,+61457536209,example@gmail.com,3,Australia,"5731, Coopers Creek, SA",Shannon Isbell,062631,11764381,Commonwealth Bank of Australia,Shannon.Isbell@paypal.com,,,Completed,1569.48,142.68
843430,6,"4472, Mount Enniskillen, QLD",65285684,12-01-2023,25-01-2023,1092,163.8,130.57,138.64,1525.04,60227,27 881 434 499,,01-07-1963,+61436997570,example@gmail.com,3,Australia,"3494, Nangiloc, VIC",Rachel Jennings,062334,13091663,Commonwealth Bank of Australia,Rachel.Jennings@paypal.com,,,Completed,1525.04,138.64
349284,4,"3631, Shepparton North, VIC",92367588,22-01-2023,28-01-2023,888,133.2,234.32,125.55,1381.05,30341,69 474 239 307,,28-07-1973,+61489924923,example@gmail.com,5,Australia,"6107, Cannington, WA",Christopher Swafford,062981,12733162,Commonwealth Bank of Australia,489924923@paypal.com,,,Completed,1381.05,125.55
133846,2,"2827, Biddon, NSW",68805889,17-05-2023,21-05-2023,336,50.4,90.24,47.66,524.26,26922,46 345 811 572,,09-12-1957,+61474699122,example@gmail.com,1,Australia,"5008, West Croydon, SA",Natalie Hess,062239,16785096,Commonwealth Bank of Australia,474699122@paypal.com,,,Completed,524.26,47.66
503885,6,"4570, Two Mile, QLD",52942731,10-03-2023,23-03-2023,1677,251.55,241.19,216.97,2386.67,06692,,873590541,07-02-1983,+61419847265,example@gmail.com,3,Australia,"2477, Alstonville, NSW",Joseph Drew,062616,12774870,Commonwealth Bank of Australia,419847265@paypal.com,,,Completed,2386.67,216.97
123053,6,"2549, Greigs Flat, NSW",89748167,20-04-2023,03-05-2023,1521,228.15,182.26,193.14,2124.54,77210,81 284 657 815,,12-01-1940,+61426490584,example@gmail.com,10,Australia,"4420, Taroom, QLD",Mary Taylor,062693,13124114,Commonwealth Bank of Australia,426490584@paypal.com,,,Completed,2124.54,193.14
598194,8,"4520, Closeburn, QLD",63714403,24-04-2023,08-05-2023,1358,203.7,178.14,173.98,1913.78,77819,27 314 264 419,,26-05-1953,+61434082132,example@gmail.com,5,Australia,"4570, Goomboorian, QLD",Lois Johnson,062870,16197868,Commonwealth Bank of Australia,Lois.Johnson@paypal.com,,,Partially Refunded,1422.74,129.34
711818,5,"5960, Garden Island, SA",11429524,09-04-2023,15-04-2023,660,99.0,216.46,97.55,1073.05,33782,30 330 718 210,,16-02-1994,+61467847159,example@gmail.com,0,Australia,"5320, Beatty, SA",Thaddeus Nelson,062358,16063644,Commonwealth Bank of Australia,467847159@paypal.com,,,Completed,1073.05,97.55
636346,3,"2262, Blue Haven, NSW",26318704,24-01-2023,30-01-2023,564,84.6,147.02,79.56,875.16,24617,,128153938,20-02-1995,+61446698124,example@gmail.com,9,New Zealand,"Auckland, NZ",Michael Jarrett,,,ANZ Bank,,AU,CTBAAU2S,Completed,875.16,79.56
145357,5,"2873, Tottenham, NSW",40995059,01-01-2023,10-01-2023,495,74.25,57.12,62.64,689.04,69686,62 556 686 907,,16-06-1996,+61496530703,example@gmail.com,4,Australia,"3925, Cape Woolamai, VIC",Keith Fann,062752,12147626,Commonwealth Bank of Australia,496530703@paypal.com,,,Completed,689.04,62.64
